Name,Yelp Alias,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
Chewy's Food Truck,chewys-food-truck-philadelphia,,"Philadelphia, PA 19104",39.95916929,-75.19841873,http://www.chewysphilly.com,"['Food Trucks', 'American (Traditional)']",$,93.0,N,N,"Saunders Park, Powelton Village",,,,,,,,,4.5,40.0,"Street Parking, Bike Parking, Valet Parking, Validated Parking, Garage Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Loud","Open to All, Wheelchair Accessible",True,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi"
Chez Colette,chez-colette-philadelphia,https://www.opentable.com/restaurant/profile/7299/reserve?ref=9169,"120 S 17th St, Philadelphia, PA 19103",39.95093385,-75.16964768,https://www.sofitel-philadelphia.com/dining-lounge,"['French', 'Breakfast & Brunch', 'Cocktail Bars']",$$,38.0,N,N,"Penn Center, Rittenhouse Square",Closed,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 12:00 PM,,3.4,56.0,"Bike Parking, Valet Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Casual, Quiet",,,,Takes Reservations,Outdoor Seating,Lunch,,Alcohol,"TV, Wi-Fi"
Chez Hansi,chez-hansi-philadelphia,https://www.opentable.com/restaurant/profile/1262203/reserve?ref=9169,"1610 South St, Philadelphia, PA 19146",39.9439603,-75.16920175,,"['Modern European', 'Desserts', 'American (New)']",,23.0,N,N,Rittenhouse Square,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,,4.7,88.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,,,,Plastic-free packaging,,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,Alcohol,"TV, Wi-Fi"
Chi Mc King,chi-mc-king-philadelphia,,"1022 N Marshall St, Philadelphia, PA 19123",39.970144,-75.147582,,"['Korean', 'Chicken Shop']",,32.0,N,N,,11:00 AM - 8:00 PM,Closed,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,,4.3,22.0,Private Lot Parking,,,,Dinner,"Offers Delivery, Offers Takeout",,,,,,,,,,,TV
Chicha San Chen,chicha-san-chen-philadelphia,,"932 Race St, Philadelphia, PA 19107",39.95517,-75.15551,https://pa.chichasanchen.com,"['Bubble Tea', 'Coffee & Tea']",,18.0,N,N,Chinatown,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,,4.7,48.0,,,,,Dinner,,,,,,,,,,,,
Chickie's & Pete's,chickies-and-petes-philadelphia,,"1526 Packer Ave, Philadelphia, PA 19145",39.91147,-75.17456,http://www.chickiesandpetes.com/location/south-philadelphia,"['Sports Bars', 'Seafood', 'American (New)']",$$,666.0,N,N,,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 12:00 AM,True,3.4,46.0,"Bike Parking, Private Lot Parking","Friday, Saturday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Loud",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Chick's Philly,chicks-philly-philadelphia,,"1807 Washington Ave, Philadelphia, PA 19146",39.9387523,-75.1740837,https://store.chicksphilly.com,"['Pizza', 'Beer Bar']",$$,257.0,N,N,Graduate Hospital,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 10:00 PM,,4.1,43.0,"Street Parking, Bike Parking","Tuesday, Wednesday, Friday",Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,"Lunch, Dinner",,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Chili Garden,chili-garden-philadelphia-4,,"4626 Baltimore Ave, Philadelphia, PA 19143",39.94852,-75.2163099,http://www.chiligardenphilly.com,['Chinese'],$,73.0,N,N,Cedar Park,Closed,12:00 PM - 8:30 PM,12:00 PM - 8:30 PM,12:00 PM - 8:30 PM,12:00 PM - 8:30 PM,12:00 PM - 8:30 PM,12:00 PM - 8:30 PM,,3.7,35.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Quiet",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi"
China House,china-house-philadelphia-11,,"2123 W Oregon Ave, Philadelphia, PA 19145",39.9185859,-75.1836863,https://chinahouseno5.business.site,['Chinese'],$,82.0,N,N,,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 PM - 11:00 PM,,4.2,41.0,"Bike Parking, Private Lot Parking",,,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi"
Chiquita's Pizzeria & Mexican Grill,chiquitas-pizzeria-and-mexican-grill-philadelphia,,"746 Snyder Ave, Philadelphia, PA 19148",39.92288,-75.1596,https://www.chiquitaspizzeria.com,"['Pizza', 'Mexican', 'Italian']",,62.0,N,N,,Closed,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 11:00 PM,,4.7,42.0,Bike Parking,,"Credit Cards, Android Pay, Apple Pay",Latinx-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,Casual,,,,,Outdoor Seating,,,Happy Hour,
Choy Wong Kitchen,choy-wong-kitchen-philadelphia,,"708 S 50th St, Philadelphia, PA 19143",39.9474,-75.22292,,['Chinese'],$,40.0,N,N,Cedar Park,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:30 AM,11:00 AM - 12:30 AM,11:00 AM - 12:00 AM,,4.0,34.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options",Quiet,,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi"
Chuan Kee Skewer,chuan-kee-skewer-philadelphia-2,,"927 Race St, Philadelphia, PA 19107",39.95549,-75.15526,,"['Chinese', 'Barbeque', 'Hot Pot']",$$,133.0,N,N,Chinatown,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:30 AM - 9:00 PM,,4.4,48.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Casual, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,"Alcohol, Happy Hour","TV, Wi-Fi"
Chubby Bowls,chubby-bowls-philadelphia-2,,"146 N 10th St, Philadelphia, PA 19107",39.95498,-75.15622,https://www.chubbycattle.com/chubby-noodles/,"['Chinese', 'Noodles', 'Food Delivery Services']",,24.0,N,N,Chinatown,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,11:30 AM - 3:30 PM,11:30 AM - 3:30 AM,11:30 AM - 3:30 AM,11:30 AM - 3:30 AM,,4.0,48.0,,,Credit Cards,,Dinner,"Offers Delivery, Offers Catering, Online ordering-only",,Classy,Wheelchair Accessible,,"Compostable containers available, Bring your own container allowed",,Outdoor Seating,,,,TV
Chubby Cattle,chubby-cattle-philadelphia-5,,"146 N 10th Street, Philadelphia, PA 19107",39.9548883,-75.1561251,,"['Chinese', 'Hot Pot', 'Asian Fusion']",$$,1481.0,N,N,Chinatown,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,,4.5,90.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Intimate, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Beer and Wine Only","TV, Wi-Fi"
Cicala at the Divine Lorraine,cicala-at-the-divine-lorraine-philadelphia,https://resy.com/cities/pha/cicala-at-the-divine-lorraine?date=2023-09-27&seats=2,"699 N Broad St, Philadelphia, PA 19123",39.96671,-75.16005,https://www.cicalarestaurant.com,['Italian'],,107.0,N,N,Avenue of the Arts North,Closed,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,,3.7,24.0,"Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
Cilantro New Mediterranean Cuisine,cilantro-new-mediterranean-cuisine-philadelphia,,"613 S 4th St, Philadelphia, PA 19147",39.94114,-75.14908,https://cilantro-fondue-restaurant.business.site,['Mediterranean'],,149.0,N,N,"South Street District, Queen Village",3:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 12:00 AM,9:00 AM - 11:30 PM,9:00 AM - 11:00 PM,,4.7,37.0,Street Parking,,,,Dinner,,"Vegan Options, Vegetarian Options",,,,,Takes Reservations,,,,,TV
Cily Chicken Rice,cily-chicken-rice-philadelphia-2,,"933 Race St, Philadelphia, PA 19107",39.955545,-75.1554729,http://cilychickenrice.com,['Thai'],$$,131.0,N,N,Chinatown,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,Closed,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,11:00 AM - 3:30 PM,,4.4,49.0,,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Moderate Noise",Gender-neutral restrooms,,Provides reusable tableware,,"Outdoor Seating, Covered Outdoor Seating",,,Alcohol,"TV, Wi-Fi"
Circles Contemporary Thai,circles-contemporary-thai-philadelphia,,"812 N 2nd St, Philadelphia, PA 19123",39.96338,-75.14121,http://www.circlesthaicuisine.com,"['Thai', 'Asian Fusion', 'Vegetarian']",$$,435.0,N,N,Northern Liberties,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,12:00 PM - 2:45 PM,12:00 PM - 10:30 PM,12:00 PM - 9:30 PM,,3.5,44.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi"
City Tap House,city-tap-house-philadelphia-6,,"100 N18th St, Logan Square, Philadelphia, PA 19103",39.95574546,-75.1698437,http://citytaphouselogan.com,['Gastropubs'],$$,563.0,N,N,"Penn Center, Logan Square, Art Museum District",11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 8:00 PM,,3.9,53.0,"Bike Parking, Garage Parking",,"Credit Cards, Android Pay",,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Loud","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
City View Pizza,city-view-pizza-philadelphia-2,,"1434 Cecil B Moore Ave, Philadelphia, PA 19122",39.97868,-75.15948,http://www.cityviewpizzaandgrill.com/,"['Pizza', 'Sandwiches', 'Cheesesteaks']",$,77.0,N,N,"Templetown, Avenue of the Arts North",11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,12:00 PM - 9:30 PM,,3.3,29.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi"
City Winery,city-winery-philadelphia-philadelphia,https://resy.com/cities/pha/city-winery-philadelphia-restaurant-and-wine-bar,"990 Filbert St, Philadelphia, PA 19107",39.9522713,-75.156091,https://citywinery.com/philadelphia,"['Wine Bars', 'Venues & Event Spaces', 'American (New)']",$$$,242.0,N,N,Market East,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,True,2.6,56.0,"Street Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Classy, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,"Plastic-free packaging, Provides reusable tableware","Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,Live Music,"Happy Hour, Full Bar","TV, Wi-Fi"
Clarkville,clarkville-philadelphia,https://tmt.spotapps.co/reservations?spot_id=9657&callback_url=http://clarkvillephilly.com/#,"4301 Baltimore Ave, Philadelphia, PA 19104",39.94972,-75.20939,http://www.clarkvillephilly.com,"['Pizza', 'Gastropubs', 'Beer Bar']",$$,260.0,N,N,"Spruce Hill, University City",11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,True,3.7,37.0,"Street Parking, Bike Parking","Wednesday, Thursday, Friday",Credit Cards,,Dinner,Offers Takeout,"Vegan Options, Vegetarian Options","Hipster, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Beer and Wine Only","TV, Pool Table, Wi-Fi"
Cleavers,cleavers-philadelphia,,"108 S 18th St, Philadelphia, PA 19103",39.95139313,-75.17062378,http://www.cleaversphilly.com,"['Cheesesteaks', 'Sandwiches', 'Beer, Wine & Spirits']",$$,1578.0,N,N,"Penn Center, Rittenhouse Square",11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 8:30 PM,,4.2,54.0,"Street Parking, Bike Parking, Garage Parking",,"Credit Cards, Android Pay, Apple Pay",Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Plastic-free packaging,Takes Reservations,"Outdoor Seating, Drive-Thru",Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
CM Chicken,cm-chicken-philadelphia,,"3180 Chestnut St, Philadelphia, PA 19104",39.95362,-75.18713,https://www.cm-chicken.com,"['Chicken Wings', 'Fast Food', 'Burgers']",$$,86.0,N,N,University City,11:30 AM - 7:45 PM,11:30 AM - 7:45 PM,11:30 AM - 7:45 PM,11:30 AM - 7:45 PM,11:30 AM - 8:15 PM,11:30 AM - 8:15 PM,11:30 AM - 7:45 PM,,4.6,49.0,"Street Parking, Bike Parking",,Credit Cards,Asian-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,Moderate Noise,Wheelchair Accessible,,"Compostable containers available, Bring your own container allowed",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,Alcohol,"TV, Wi-Fi"
Cockatoo,cockatoo-philadelphia,,"208 S 13th St., Philadelphia, PA 19107",39.948577,-75.162329,https://cockatoo.fun,[],,,N,N,"Washington Square West, Avenue of the Arts South",Closed,Closed,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 1:00 AM (Next day),1:00 PM - 1:00 AM (Next day),2:00 PM - 9:00 PM,,3.6,,,,,,,,,,,,,,,,,,
Coffee Cream & Dreams,coffee-cream-and-dreams-philadelphia,,"1436 Fairmount Ave, Philadelphia, PA 19130",39.96692,-75.162042,https://coffeecreamanddreams.com,"['Bakeries', 'Coffee & Tea', 'Sandwiches']",,39.0,N,N,"Francisville, Avenue of the Arts North, Fairmount",7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,8:00 AM - 1:00 PM,8:00 AM - 1:00 PM,,4.8,23.0,Street Parking,,Credit Cards,"Women-owned, Black-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,,Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Alcohol, Happy Hour","TV, Wi-Fi"
Colonial Pizza,colonial-pizza-philadelphia,,"400 S 43rd St, Philadelphia, PA 19104",39.95136,-75.20959,http://thecolonialpizzaphilly.com,['Pizza'],$,116.0,N,N,"Spruce Hill, University City",Closed,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,,3.8,36.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Casual, Quiet",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,,Beer and Wine Only,"TV, Wi-Fi"
Columbia Diner,columbia-diner-philadelphia,,"1703 Cecil B Moore Ave, Philadelphia, PA 19121",39.97952,-75.16284,,['Breakfast & Brunch'],,9.0,N,N,,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,,4.3,27.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,,Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi"
Comfort & Floyd,comfort-and-floyd-philadelphia-3,,"1301 S 11th St, Philadelphia, PA 19147",39.93332932,-75.16202845,http://www.comfortandfloyd.com,['Breakfast & Brunch'],$$,114.0,N,N,Passyunk Square,8:00 AM - 3:00 PM,Closed,Closed,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,,4.6,46.0,,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,"Lunch, Brunch",,"Alcohol, Happy Hour","TV, Wi-Fi"
Con Murphy's Irish Pub,con-murphys-philadelphia-4,https://www.opentable.com/restaurant/profile/67228/reserve?ref=9169,"1700 Ben Franklin Pkwy, Philadelphia, PA 19103",39.9556532,-75.16821888,http://www.conmurphyspub.com,"['Irish', 'Pubs', 'Sports Bars']",$$,352.0,N,N,"Penn Center, Logan Square, Art Museum District",11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 2:00 AM,9:00 AM - 2:00 AM,9:00 AM - 11:00 PM,True,3.7,59.0,"Street Parking, Bike Parking, Valet Parking, Validated Parking, Garage Parking","Monday, Thursday, Friday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Casual, Moderate Noise",Wheelchair Accessible,True,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Condesa,condesa-philadelphia,https://resy.com/cities/philadelphia-pa/venues/el-techo-pa,"1830 Ludlow St, Philadelphia, PA 19103",39.9524608,-75.1707001,https://www.condesaphilly.com,"['Mexican', 'Cocktail Bars']",$$$,184.0,N,N,"Penn Center, Rittenhouse Square",5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,Closed,True,4.0,43.0,"Bike Parking, Garage Parking","Thursday, Friday, Saturday","Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",,"Classy, Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Cook and Shaker,cook-and-shaker-philadelphia-2,,"2301 E Albert St, Philadelphia, PA 19125",39.9826256,-75.1205402,http://cookandshaker.com,"['Comfort Food', 'American (New)', 'Cocktail Bars']",$$,190.0,N,N,Kensington,Closed,Closed,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM,12:00 PM - 12:15 PM,11:00 AM - 11:00 PM,,4.4,44.0,"Street Parking, Bike Parking","Friday, Saturday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,Juke Box,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Copabanana,copabanana-philadelphia-3,https://www.opentable.com/r/copabanana-reservations-philadelphia?restref=379225&lang=en-US&ot_source=Restaurant%20website,"4000 Spruce St, Philadelphia, PA 19104",39.95151,-75.20327,http://www.copabanana.com/,"['Bars', 'American (Traditional)']",$$,374.0,N,N,"Spruce Hill, University City",11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 10:00 PM,,2.9,50.0,"Street Parking, Bike Parking","Wednesday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Loud",,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Corey’s Crafty Vietnamese Cuisine,corey-s-crafty-vietnamese-cuisine-philadelphia,,"1314 South St, Philadelphia, PA 19147",39.9433194,-75.1638751,https://www.coreyscraftyviet.com,['Vietnamese'],,49.0,N,N,"Avenue of the Arts South, Washington Square West",11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:30 PM,,4.8,38.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Pescatarian Options",Moderate Noise,Wheelchair Accessible,,"Plastic-free packaging, Provides reusable tableware, Compostable containers available, Bring your own container allowed",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi"
Cosmi's Deli,cosmis-deli-philadelphia,,"1501 S 8th St, Philadelphia, PA 19147",39.93029,-75.15798,https://ordercosmisdeli.com,"['Delis', 'Sandwiches', 'Cheesesteaks']",$$,423.0,N,N,Passyunk Square,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 8:30 PM,,4.2,47.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Casual, Moderate Noise",Open to All,True,,Takes Reservations,,Dinner,,Alcohol,"TV, Wi-Fi"
Cotoletta Fitler Square,cotoletta-fitler-square-philadelphia,https://www.opentable.com/restref/client/?rid=1037035&restref=1037035&lang=en-US&r3uid=W9aBPubyx&color=1&corrid=bdfc7b79-7e4e-4c3b-9603-d82d2ad45502,"2227 Pine St, Philadelphia, PA 19103",39.94749,-75.17915,http://www.cotolettafs.com,['Italian'],,95.0,N,N,"Fitler Square, Rittenhouse Square",Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,,3.9,43.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Limited Vegetarian Options,"Classy, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,Full Bar,"TV, Wi-Fi"
Crab Du Jour - Philadelphia,crab-du-jour-philadelphia-philadelphia-3,,"822 N Broad St, Philadelphia, PA 19130",39.968791,-75.160534,http://www.phillycrabdujour.com,"['Seafood', 'Cajun/Creole']",,40.0,N,N,"Francisville, Avenue of the Arts North, Fairmount",12:30 PM - 10:30 PM,12:30 PM - 10:30 PM,12:30 PM - 10:30 PM,12:30 PM - 10:30 PM,12:30 PM - 11:30 PM,12:30 PM - 11:30 PM,12:30 PM - 10:30 PM,,3.4,22.0,"Street Parking, Bike Parking",,Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,,"Open to All, Wheelchair Accessible",,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi"
