Name,Yelp Alias,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities,Yelp Rating,Review Count,Phone
Alice Pizza,alice-pizza-philadelphia-7,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#alice-pizza,"Participating in lunch, dinner and takeout. Offering indoor dining.",$45 DINNER,https://centercityphila.org/uploads/attachments/clksc8v1pacvf0vqd4bn1k9ue-alice.pdf,http://www.alicephilly.com/reservations,"235 S 15th Street, Philadelphia, PA 19102",39.9481842,-75.1660517,http://www.alicephilly.com,"['Pizza', 'Italian', 'Gelato']",$$,311.0,https://centercityphila.org/uploads/attachments/ck55ngp8o27cm01qdrl2ydun8-gran-caffe.309.0.760.760.full.jpg,N,Y,"['Avenue of the Arts South', 'Rittenhouse Square']",11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:30 AM - 9:00 PM,,4.3,49.0,70.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Trendy, Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating","Dessert, Dinner",,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Alif Brew & Mini Mart,alif-brew-and-mini-mart-philadelphia,,,,,,,,,,,"4501 Baltimore Ave, Philadelphia, PA 19143",39.94917083,-75.2131685,,"['Cafes', 'Convenience Stores', 'Ethiopian']",,30.0,,N,N,,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,,4.9,59.0,15.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",Black-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,,"Wheelchair Accessible, Gender-neutral restrooms",,,,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Allegro Pizza,allegro-pizza-philadelphia,,,,,,,,,,,"3942 Spruce St, Philadelphia, PA 19104",39.95139,-75.20295,http://www.allegropizza.com,"['Pizza', 'Italian', 'American (Traditional)']",$,244.0,,N,N,['University City'],10:00 AM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 12:00 AM,,3.0,6.0,35.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Beer and Wine Only,"TV, Wi-Fi",,,
Alma Del Mar,alma-del-mar-philadelphia,,,,,,,,,,https://www.almadelmar.net/reservations,"1007 S 9th St, Philadelphia, PA 19147",39.93730994,-75.15801016,https://www.almadelmar.net,"['Breakfast & Brunch', 'Sandwiches', 'Seafood']",,104.0,,N,N,"['Italian Market', 'Bella Vista']",8:00 AM - 3:00 PM,Closed,Closed,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 3:00 PM,,4.7,56.0,38.0,"Street Parking, Bike Parking",,Credit Cards,Latinx-owned,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,Casual,Wheelchair Accessible,,,,"Outdoor Seating, Covered Outdoor Seating",,,Alcohol,Wi-Fi,,,
Alpen Rose,alpen-rose-philadelphia,,,,,,,,,,https://resy.com/cities/pha/alpen-rose?date=2021-01-28&seats=2,"116 S 13th St, Philadelphia, PA 19107",39.949778,-75.16215384,https://www.alpenrosephl.com,"['Steakhouses', 'Seafood']",,237.0,,N,N,['Avenue of the Arts South'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,4.4,50.0,54.0,Garage Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Limited Vegetarian Options, Keto Options","Classy, Intimate, Upscale, Dressy",,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,Full Bar,TV,,,
Amada,amada-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amada,Participating in dinner only. Offering indoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clluwrm2pbalcjnqd3va3v0dl-amada.pdf,https://www.opentable.com/restaurant/profile/5129/reserve?ref=939,"217-219 Chestnut St, Philadelphia, PA 19106",39.9485657,-75.1448374,http://www.amadarestaurant.com,"['Tapas Bars', 'Spanish', 'Iberian']",$$,2259.0,https://centercityphila.org/uploads/attachments/civfo0umy00t6l7qd6w4pmbxn-amada-croquetas-de-jamon-amada.341.0.1365.1365.full.jpg,N,Y,['Old City'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,,4.2,53.0,90.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Pescatarian Options, Vegetarian Options","Trendy, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Amari's Restaurant,amaris-restaurant-philadelphia,,,,,,,,,,,"5037 Baltimore Ave, Philadelphia, PA 19143",39.9479848,-75.2247445,http://amarisrestaurant.com,"['American (New)', 'Soul Food', 'Seafood']",$,62.0,,N,N,,Closed,Closed,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,,3.7,19.0,34.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,"Lunch, Brunch, Dinner",,Beer and Wine Only,"TV, Wi-Fi",,,
Amasi Restaurant and Hookah,amasi-restaurant-and-hookah-philadelphia-3,,,,,,,,,,,"1731 Cecil B Moore Ave, Philadelphia, PA 19121",39.979628,-75.163833,,"['Mediterranean', 'Hookah Bars']",$$,29.0,,N,N,,Closed,4:00 PM - 1:00 AM,4:00 PM - 1:00 AM,4:00 PM - 1:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 12:00 AM,True,3.6,34.0,29.0,"Street Parking, Bike Parking","Friday, Saturday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Quiet","Wheelchair Accessible, Gender-neutral restrooms",,,"Walk-ins Welcome, Takes Reservations",Outdoor Seating,,,Alcohol,"TV, Pool Table, Wi-Fi",,,
Amazing Crab House,amazing-crab-house-philadelphia,,,,,,,,,,,"604 S 2nd St, Philadelphia, PA 19147",39.9410105,-75.14590517,http://www.amazingcrabhouse.com,"['Seafood', 'Sports Bars', 'Southern']",,71.0,,N,N,"['South Street District', 'Queen Village', 'Society Hill']",12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,,4.4,50.0,40.0,Street Parking,Saturday,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Ambassador,ambassador-philadelphia,,,,,,,,,,,"635 W Girard Ave, Philadelphia, PA 19122",39.970761,-75.147969,https://ambassador635.com,"['Cocktail Bars', 'Falafel', 'Sports Bars']",,39.0,,N,N,,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 12:00 AM,True,3.8,38.0,22.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,"Trendy, Intimate, Casual",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,Live Music,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Ambrosia Ristorante BYOB,ambrosia-ristorante-byob-philadelphia,,,,,,,,,,,"231 S 24th St, Philadelphia, PA 19103",39.94997,-75.1796,http://ambrosiabyob.com,['Italian'],,231.0,,N,N,"['Fitler Square', 'Rittenhouse Square']",11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,,4.5,52.0,43.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Military Discount","Vegan Options, Vegetarian Options","Trendy, Classy, Intimate, Romantic, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,Dessert,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
American Sardine Bar,american-sardine-bar-philadelphia,,,,,,,,,,,"1800 Federal St, Philadelphia, PA 19146",39.936536,-75.17375,http://www.americansardinebar.com/,"['Bars', 'American (New)', 'Venues & Event Spaces']",$$,379.0,,N,N,['Point Breeze'],12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,,4.0,43.0,42.0,"Street Parking, Bike Parking","Wednesday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Hipster, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
AmeriThai,amerithai-philadelphia,,,,,,,,,,,"1244 Snyder Ave, Philadelphia, PA 19148",39.92394941,-75.16745752,https://amerithaitogo.com,['Thai'],$$,126.0,,N,N,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,4.1,44.0,46.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Quiet",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi",,,
Amina,amina-philadelphia-2,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amina,"Participating in lunch, dinner, and takeout. Offering indoor dining. Closed on Mondays. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clkwusrusa39rjnqdaqm003vc-amina.pdf,https://www.opentable.com/restaurant/profile/1239313/reserve?ref=9169,"104 Chestnut St, Philadelphia, PA 19106",39.948127,-75.14276525,http://aminaphilly.com,['Southern'],,131.0,https://centercityphila.org/uploads/attachments/clkwuzpb1ajrp0vqdk9umna1x-aminapic.79.0.482.482.full.jpg,N,Y,['Old City'],Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 10:00 PM,,4.0,42.0,62.0,Street Parking,,,,Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Classy, Intimate, Romantic, Upscale, Casual, Moderate Noise",,,Provides reusable tableware,Takes Reservations,Outdoor Seating,Dessert,,Full Bar,,,,
Anastasi Seafood,anastasi-seafood-philadelphia-2,,,,,,,,,,,"1039 S 9th St, Philadelphia, PA 19147",39.93654,-75.1582,http://www.anastasiseafood.com,['Seafood'],$$,298.0,,N,N,"['Italian Market', 'Bella Vista']",9:00 AM - 5:00 PM,9:00 AM - 6:30 PM,9:00 AM - 6:30 PM,9:00 AM - 6:30 PM,9:00 AM - 7:30 PM,9:00 AM - 7:30 PM,9:00 AM - 6:00 PM,,4.0,43.0,38.0,"Street Parking, Bike Parking",,Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Private Dining, Drive-Thru",Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Ancient Spirits & Grille,ancient-spirits-and-grille-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#ancient-spirits-grille,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. ",$45 DINNER | $20 LUNCH | COCKTAILS,https://centercityphila.org/uploads/attachments/clkjrtuzr9mfdm8qd9woymj2v-ancientdinner.pdf,https://www.opentable.com/restaurant/profile/1177882/reserve?ref=9169,"1726 Chestnut St, Philadelphia, PA 19103",39.9515042,-75.1698515,https://asgphilly.com,"['Lounges', 'Cocktail Bars', 'Modern European']",$$,73.0,https://centercityphila.org/uploads/attachments/cktiohlqd29qppeqdo66u5jyn-ancient-spirits-grille.0.0.1080.1080.full.jpg,N,Y,"['Penn Center', 'Rittenhouse Square']",11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,True,3.7,36.0,58.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Casual",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
